NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
1324040;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3306206;Vassouras;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;537.4;623.9;600.1;487.2;DCEBCBDECDEBCCDCECBCCDDDBDDAACEECBDACDDEDBBCB;DECBBEBCDBADAEBDCACDBAECEDACEAEAEEADEDDADADEC;CAAAEECBECDDDCBDEBDBBADCEBDEBECBDBDBCBEBADEEB;DECDEBEBCBDBECEACBADADDBCEEDCDAACBCABEBBDCAED;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;160.0;180.0;180.0;200.0;200.0;920.0
503854;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1421.0;1386.0;1397.0;1409.0;405.8;467.7;469.0;598.8;BEABDEDAAEBEBCDEDDADADADADCAEBCEBBEEEEEACEDAB;ABEAADACAEBACEEABBBACBBCAABAACCBDCDABBCDDAADD;AAAADDAEDBDDABDDEEABDEEBACEBAEDBCECADADACAEAC;CBBBDAAABDCBCBDACECCDADBBDCDCCDADBDDCACCEDDDE;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1.0;140.0;180.0;160.0;160.0;160.0;800.0
2299572;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;585.6;558.6;565.8;736.5;BCEDCBCCCEB.BABEE.BDCDCCADDDBEEEEAEEEBBCAEDCB;CCCCEEBBAEADAEBBCCCDEAACEBDCEAEAADEDCEAADBDAA;CDAAAECBEC.DBCBDEDBCCBBDCBDEBBBBE.DA.BAEEDEEB;CEDECDDBDDAEBBCDCACEBACCCACDBDABCAADDDBABABCE;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;160.0;200.0;180.0;180.0;160.0;880.0
3473124;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1422.0;1384.0;1396.0;1410.0;559.3;600.9;601.7;523.3;BAEBBAACEBDCEEDDBECEECACECCDEBBBCCBBDCCCCACCA;DADBBCECECBEEBBBBBEDCCDACECADBCEEABEEEBAECEEA;AACDBDABECBBDBEEBDCCDCAEDDCBDBBDEBDAEDCECDDDA;BADDAAECDCCCDECDADDCEDBBEAEEDECCBBDAEEABCBDEA;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1.0;140.0;160.0;120.0;160.0;160.0;740.0
536858;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;528.8;554.2;539.1;474.6;ADEDCBCBADCECABBD*ECABDAADEEACBECBBCDDBEDEDCB;BECBBEADADCDDEBBABDDCAECCBEAEABAEEACBCDEAADBC;ADAEEECDECEDDCADEADBCABABBDCDEBBECCDBEEBABEEC;AECBEBDEACDABBEEAADBABECCEDABABDCECEDCBDCCACD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;160.0;200.0;160.0;200.0;200.0;920.0
3011987;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3306206;Vassouras;33;RJ;1;1;1;1;1419.0;1385.0;1398.0;1407.0;580.4;640.3;650.0;713.1;BCBBBCBDBDCCCDDBEABDABECEDEECBACAEEEECCCBDDCD;CAEDBDDBEBEDEDAEEAEACBCADEEBEBBEEABECBDACDDED;EAAACDDCBDEECECCBAEDADEEBCBEBEDBDEDDADADDCECB;EBCABAADEDCBCBCBADCBBCCEDCAEABADAEDBDADCBCCCC;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1.0;120.0;160.0;120.0;120.0;120.0;640.0
259034;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;443.4;583.0;566.1;577.1;CCABCBDEAEBDDAECCCDEDAEEBDBCBCABCABDAECDABACA;CEBBBDABCBDDBEEDCBCBCAECEDADBAEAEBACEEBADACEE;CAAADBCAECCDDCBEECACABDAEBCEABBBDDDDBBEBADEEB;DECCADECCAABDEBACBCCBCBADECBAAACEBDDADBEBEABC;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;140.0;160.0;140.0;140.0;180.0;760.0
321495;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;432.8;582.8;568.1;441.8;DACECDBEEDBADEECCEABDEABCBEEBDEBDBADEAACDBEAD;BECBBEAECBADEEDABBEDCAECBDCAAAEACBADDEAADACCC;CAAAEECBECBDDBADEAACCCBCBBDADDEADBDACBCDEAEBC;DBEACBBEADDCDAEAEBC.ADECBEAAADDCDADBBDAEBCADE;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;160.0;160.0;160.0;180.0;200.0;860.0
3189408;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1422.0;1384.0;1396.0;1410.0;496.4;575.9;615.8;421.2;CABADAABBBDCAADCABDDBCECDCCCBCEBDBABDEC*DCECC;DADBBCDAEBBDEBDCEBEACADADCAAADEEEADEAEEADCCCA;AACEADAAECBDDAEEBDDCDABEDDCADCBDEBDABAEECADDA;DADDDCEDCBDCCEAACDCCDABADCACBCEBDDADCDCABEBEC;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1.0;120.0;160.0;140.0;160.0;120.0;700.0
4098599;2024;33159866.0;3301801.0;Engenheiro Paulo de Frontin;33.0;RJ;1.0;1.0;1.0;3302908;Miguel Pereira;33;RJ;1;1;1;1;1422.0;1384.0;1396.0;1410.0;482.3;509.5;515.7;575.4;ACEDBADCCEBCAEBCCCCDBEACEBCAEDEDAECBAACDAEEEE;DADDECAAEBDDEEADDCEEECDBDDCBCEBCCAADEECBBCEDA;BBDEADADECBEDADEBDBBBCBEDAACDBCAABBEDEEEDBCBA;AEDDBBEDADBACDBABDCADEBCDEBDBABCDACBADACEBCAB;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1.0;160.0;180.0;160.0;160.0;200.0;860.0
